id,tweet_id,sentiment_value,ortographic_value,bad_words_value,spam_value,text_credibility
47,906933693587091456,0.0,0,[0],1,[0.25]
48,907997512274821121,0.0,0,[0],1,[0.25]
49,907997636317257728,0.0,1,[0],1,[0.5]
50,908839127927443457,0.0,0,[0],1,[0.25]
51,908839240028405760,0.0,0,[0],1,[0.25]
52,909714135646076928,0.0,0,[0],1,[0.25]
53,909871642423197696,0.0,0,[0],0,[0.]
54,910330388219916290,0.0,0,[0],1,[0.25]
55,910506394326937602,0.0,0,[1],1,[0.5]
56,910542207991590917,0.0,0,[0],1,[0.25]
57,912460861758955523,0.0,0,[0],1,[0.25]
58,912724426709504000,0.0,0,[0],0,[0.]
59,913952069765271559,0.0,0,[0],1,[0.25]
60,914018471666622465,0.0,0,[0],1,[0.25]
61,914832655170011137,1.0,1,[0],1,[0.75]
62,914897696648970240,0.0,0,[0],1,[0.25]
63,914897786021191680,0.0,0,[0],1,[0.25]
64,914897837728473089,0.0,0,[0],1,[0.25]
65,917558953923563523,0.0,0,[0],1,[0.25]
66,917559195448283139,0.0,0,[0],1,[0.25]
67,917559594880241664,0.0,1,[0],1,[0.5]
68,917778240021909504,0.0,1,[0],1,[0.5]
69,917796742174666752,1.0,0,[0],1,[0.5]
70,917803932205842437,0.0,1,[0],0,[0.25]
71,917845702541299714,0.0,0,[0],1,[0.25]
72,917887267267665921,1.0,0,[0],1,[0.5]
73,917922469775925248,0.5,1,[0],0,[0.375]
74,918108160010878981,0.0,0,[0],1,[0.25]
75,918176061669695489,0.0,0,[0],1,[0.25]
76,918246623028924416,0.0,0,[0],1,[0.25]
77,918476943544033280,0.0,0,[0],0,[0.]
78,918533527574011904,0.0,0,[0],0,[0.]
79,918544228300464128,0.0,0,[0],1,[0.25]
80,918584973581570048,0.0,0,[0],1,[0.25]
81,918728591604633600,0.0,0,[0],1,[0.25]
82,918896343988523009,0.5,0,[0],1,[0.375]
83,918902042130751489,0.0,0,[0],1,[0.25]
84,918973455189422081,0.0,0,[0],0,[0.]
85,919587883937234944,0.0,0,[0],0,[0.]
86,919649654081331200,0.0,0,[0],1,[0.25]
87,919649702131281920,0.0,0,[0],1,[0.25]
88,919942808739254273,1.0,1,[0],1,[0.75]
89,919948548522651648,0.0,0,[0],1,[0.25]
90,920061541986250758,0.0,1,[0],1,[0.5]
91,920269620296105985,0.0,0,[0],0,[0.]
92,920654634233901056,0.0,0,[0],1,[0.25]
93,920736229464961025,0.0,0,[0],1,[0.25]
94,920737140312563712,0.0,0,[0],1,[0.25]
95,920772696086073345,0.0,0,[0],0,[0.]
96,920840455281033216,0.0,0,[0],1,[0.25]
97,920974157730500609,0.0,0,[1],1,[0.5]
98,920975249881096192,0.5,0,[0],1,[0.375]
99,920975404457971713,0.0,0,[0],1,[0.25]
100,920975958550679552,0.0,0,[0],1,[0.25]
101,920976537884811269,0.0,0,[0],1,[0.25]
102,920977059442241536,0.0,0,[0],1,[0.25]
103,920977491883380737,0.0,0,[0],1,[0.25]
104,921120316880850944,1.0,0,[0],1,[0.5]
105,921145361745539072,0.0,0,[0],1,[0.25]
106,921429631139319809,0.5,0,[0],1,[0.375]
107,921530245588635650,0.0,0,[0],1,[0.25]
108,921800764821065728,0.0,1,[0],1,[0.5]
109,921819973844131840,0.0,0,[0],0,[0.]
110,921850779698315264,0.0,1,[0],1,[0.5]
111,921889369337860096,0.0,0,[0],1,[0.25]
112,922118343351451648,0.0,0,[0],1,[0.25]
113,922181560551407616,0.0,1,[0],1,[0.5]
114,922251373311176705,1.0,0,[0],1,[0.5]
115,922267323829968896,0.0,0,[0],0,[0.]
116,922271648429961216,0.0,0,[0],1,[0.25]
117,922281018085728256,0.0,1,[0],1,[0.5]
118,922284361080127488,0.0,1,[0],1,[0.5]
119,922285331721760768,0.0,0,[0],1,[0.25]
120,922295425742368769,0.0,1,[0],1,[0.5]
121,922298279261622272,0.0,1,[0],1,[0.5]
122,922584337815613441,0.5,0,[0],1,[0.375]
123,922827170375983105,0.0,0,[0],0,[0.]
124,922828793152229378,0.0,1,[0],1,[0.5]
125,922829439364423680,0.0,0,[0],1,[0.25]
126,922864363941138432,0.0,0,[0],0,[0.]
127,922866117126758400,0.0,0,[1],1,[0.5]
128,922880647265472513,0.0,0,[0],0,[0.]
129,922901271698219008,0.0,1,[0],1,[0.5]
130,922905342148616192,0.0,0,[0],1,[0.25]
131,922917426198544386,0.0,0,[0],1,[0.25]
132,922964386842415104,0.0,1,[0],1,[0.5]
133,922970010699554817,0.0,0,[0],1,[0.25]
134,922975964828639232,0.0,0,[0],1,[0.25]
135,922976874103390208,0.0,0,[0],0,[0.]
136,922982788340445184,0.0,1,[0],1,[0.5]
137,922990372816433152,0.0,0,[0],1,[0.25]
